UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Google,@Google,2023-08-10T21:17:11.000Z,"Google
@Google
·
Aug 11","From trip itineraries to creative brainstorms, here are 10 ways you can collaborate with Bard ↓",,104,147,744,['https://pbs.twimg.com/card_img/1704799541432930304/svu-zWI5?format=jpg&name=900x900'],https://twitter.com/Google/status/1689747747006484480
Google,@Google,2023-08-10T20:01:51.000Z,"Google
@Google
·
Aug 11","Replying to 
@tuhin_tuhi61115",,,,,[],https://twitter.com/Google/status/1689728790644109312
Google,@Google,2023-08-10T19:10:34.000Z,"Google
@Google
·
Aug 11","Replying to 
@JhonathanP3656",,1,,,[],https://twitter.com/Google/status/1689715881167708160
Google,@Google,2023-08-10T14:45:36.000Z,"Google
@Google
·
Aug 10","Replying to 
@isanimazawaje",,1,,1,[],https://twitter.com/Google/status/1689649201934954497
Google,@Google,2023-08-10T13:36:46.000Z,"Google
@Google
·
Aug 10","Replying to 
@makilimathao1",,,,,[],https://twitter.com/Google/status/1689631880063139840
Google,@Google,2023-08-10T20:37:58.000Z,"Google
@Google
·
Aug 11",Hi Akshay. Let's see what we can do to help. Look out for a DM with next steps.,,,,1,[],https://twitter.com/Google/status/1689737876542492673
Google,@Google,2023-08-10T14:07:09.000Z,"Google
@Google
·
Aug 10","Replying to 
@Aabubakar239",,2,,1,[],https://twitter.com/Google/status/1689639525881204739
Google,@Google,2023-08-10T17:31:35.000Z,"Google
@Google
·
Aug 11","Replying to 
@SaifyMhsrHere",,,,,[],https://twitter.com/Google/status/1689690972832116737
Google,@Google,2023-08-10T13:30:03.000Z,"Google
@Google
·
Aug 10","Replying to 
@CalPeter3",,1,,1,[],https://twitter.com/Google/status/1689630190563962880
Google,@Google,2023-08-10T23:33:10.000Z,"Google
@Google
·
Aug 11","Replying to 
@JeetShekhawat00",,,,,[],https://twitter.com/Google/status/1689781967124836352
Google,@Google,2023-08-10T16:21:02.000Z,"Google
@Google
·
Aug 11","Replying to 
@rohtasi_babu",,3,,,[],https://twitter.com/Google/status/1689673219018502144
Google,@Google,2023-08-10T13:36:17.000Z,"Google
@Google
·
Aug 10","Replying to 
@wangliangs37080",,,,1,[],https://twitter.com/Google/status/1689631758373834752
Google,@Google,2023-08-10T17:10:59.000Z,"Google
@Google
·
Aug 11","Replying to 
@SaifyMhsrHere",,2,,,[],https://twitter.com/Google/status/1689685789972602891
Google,@Google,2023-08-10T22:49:15.000Z,"Google
@Google
·
Aug 11","Replying to 
@MrBraxzz",,1,,2,[],https://twitter.com/Google/status/1689770915272310784
Google,@Google,2023-08-10T10:18:31.000Z,"Google
@Google
·
Aug 10","Replying to 
@Ankitpa49120362",,,,1,[],https://twitter.com/Google/status/1689581989123235841
Google,@Google,2023-08-10T13:18:55.000Z,"Google
@Google
·
Aug 10","Replying to 
@jaga_g1",,,,,[],https://twitter.com/Google/status/1689627385451130883
Google,@Google,2023-08-10T20:20:01.000Z,"Google
@Google
·
Aug 11","Replying to 
@achyut_pran",,,,1,[],https://twitter.com/Google/status/1689733360124387328
Google,@Google,2023-08-10T13:16:58.000Z,"Google
@Google
·
Aug 10","Replying to 
@sarcasm5556",,1,,1,[],https://twitter.com/Google/status/1689626895392952320
Google,@Google,2023-08-10T21:04:25.000Z,"Google
@Google
·
Aug 11","Replying to 
@dolphin4321",,,,2,[],https://twitter.com/Google/status/1689744532701609986
Google,@Google,2023-08-10T15:20:34.000Z,"Google
@Google
·
Aug 10","Replying to 
@TiaDestiney",,,,,[],https://twitter.com/Google/status/1689657999366000640
Google,@Google,2023-08-10T14:04:30.000Z,"Google
@Google
·
Aug 10","Replying to 
@Aabubakar238",,1,,,[],https://twitter.com/Google/status/1689638857556545536
Google,@Google,2023-08-10T15:03:59.000Z,"Google
@Google
·
Aug 10","Replying to 
@usamayaseen583",,,,1,[],https://twitter.com/Google/status/1689653826675163137
Google,@Google,2023-08-10T16:40:34.000Z,"Google
@Google
·
Aug 11","Replying to 
@MABWSOCIAL",,1,,,[],https://twitter.com/Google/status/1689678135783038982
Google,@Google,2023-08-10T15:03:12.000Z,"Google
@Google
·
Aug 10","Replying to 
@TiaDestiney",,,,,[],https://twitter.com/Google/status/1689653629333213186
Google,@Google,2023-08-10T09:59:31.000Z,"Google
@Google
·
Aug 10","Replying to 
@Rudylabs_",,1,,1,[],https://twitter.com/Google/status/1689577207054700546
Google,@Google,2023-08-10T15:31:18.000Z,"Google
@Google
·
Aug 10","Replying to 
@nicuveo",,,,,[],https://twitter.com/Google/status/1689660701164392448
Google,@Google,2023-08-10T13:34:25.000Z,"Google
@Google
·
Aug 10","Replying to 
@MidwayAtom",,,,,[],https://twitter.com/Google/status/1689631287500300288
Google,@Google,2023-08-10T13:23:14.000Z,"Google
@Google
·
Aug 10","Replying to 
@GodsChild7770",,,,,[],https://twitter.com/Google/status/1689628474154024960
Google,@Google,2023-08-10T16:40:26.000Z,"Google
@Google
·
Aug 11","Replying to 
@vamshiforyou_",,,,,[],https://twitter.com/Google/status/1689678101788180480
Google,@Google,2023-08-10T12:07:35.000Z,"Google
@Google
·
Aug 10","Replying to 
@syncho4real",,,,,[],https://twitter.com/Google/status/1689609434048200704
Google,@Google,2023-08-10T22:35:08.000Z,"Google
@Google
·
Aug 11","Replying to 
@eXplethbridge",,3,1,,[],https://twitter.com/Google/status/1689767365397905408
