UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Clownslice,@ClownSlice,2020-09-14T14:46:10.000Z,"Clownslice
@ClownSlice
·
2020年9月14日","Nash has just launched its own fiat ramp with 0% fee  non-custodial crosschain trading  0% maker fee also 

$nex #btc #bitcoin #cryptocurrency #crypto #nash #decentralized #blockchain #Ethereum #eth #xrp #neo #usdc #
3
21
77",🤩 😎 👌,3,21,77,['https://pbs.twimg.com/media/Eh4h5BtXgAQv7tt?format=jpg&name=900x900'],https://twitter.com/ClownSlice/status/1305518208015892480
Biconomy,@biconomy,2020-09-14T16:33:16.000Z,"Biconomy
@biconomy
·
2020年9月15日"," Hiring Alert! 

Biconomy is looking for rockstar blockchain #devs who are passionate about building next generation infrastructure that will drive mass adoption of crypto!

Share your awesome CVs at aniket@biconomy.io

#hiring #Ethereum
11
18",📢 📢,,11,18,['https://pbs.twimg.com/ext_tw_video_thumb/1305543595705868290/pu/img/57dJFxu_u6lRjgLK.jpg'],https://twitter.com/biconomy/status/1305545160533581829
baselineprotocol,@baselineproto,2020-09-14T16:20:01.000Z,"baselineprotocol
@baselineproto
·
2020年9月15日","Welcome 
@Accenture
 

#baselineprotocol #ethereum #enterprise #opensource
OASIS Open
@OASISopen
 · 2020年9月15日
We’re very pleased to announce @Accenture as the newest Sponsor of the #BaselineProtocol and the #Ethereum OASIS Open Project. Thank you for your support and welcome aboard!

@baselineproto  #blockchain #opensource #openprojects 

https://baseline-protocol.org
4
32
133",🌏,4,32,133,"['https://pbs.twimg.com/profile_images/1325814824366977026/YPqT7PxT_mini.jpg', 'https://pbs.twimg.com/media/Eh42ZQtXcAINhMU?format=jpg&name=small']",https://twitter.com/baselineproto/status/1305541825885855744
5Ksana,@5Ksana,2020-09-14T10:00:15.000Z,"5Ksana
@5Ksana
·
2020年9月14日","NEW!!! Money tree of coins «BITCOIN»

More photos! SALE! https://5ksana.art/cryptoart/money-tree-of-coins-bitcoin/…

#5ksana #cryptoart #art #handmade #Crypto #BTC  #CryptoTwitter  #Blockchain #cryptoartists #Ethereum #Collectibles #cryptocurrencies #coins #tree #wood #cryptocurrency  #Bitcoin
4
5",,,4,5,['https://pbs.twimg.com/media/Eh3eVuYX0AM9cdN?format=jpg&name=small'],https://twitter.com/5Ksana/status/1305446255364116481
Altcoin Daily,@AltcoinDailyio,2020-09-14T22:11:56.000Z,"Altcoin Daily
@AltcoinDailyio
·
2020年9月15日","Let's discuss the latest #cryptocurrency news involving:

-- #Bitcoin
-- #Ethereum 2.0
-- DeFi in the US
-- Yearn Finance $YFI
-- & MORE!

Good Video. Watch 
  https://youtube.com/watch?v=wQg8m-dk4yk&feature=youtu.be…
6
7
27",👇 ▶ ▶,6,7,27,['https://pbs.twimg.com/media/Eh6Hq0YUYAAp4p6?format=jpg&name=small'],https://twitter.com/AltcoinDailyio/status/1305630385749934081
baselineprotocol,@baselineproto,2020-09-14T16:58:28.000Z,"baselineprotocol
@baselineproto
·
2020年9月15日","Thanks 
@BenJessel
 

#enteprise #baselineprotocol #ethereum #blockchain
Ben Jessel
@BenJessel
 · 2020年9月15日
Exclusive! @jwolpert and .@SergeyNazarov speak to .@ForbesCrypto about today's announcement of .@chainlink protocol's integration with .@EY_US,.@Microsoft, .@AMD and .@Consensys backed baseline protocol https://forbes.com/sites/benjessel/2020/09/14/will-chainlinks-integration-with-ey-and-microsoft-backed-baseline-make-ethereum-enterprise-ready/#4333966f5e4c… #chainlink #Ethereum #blockchain #blockchainnews #BTC
10
35",,,10,35,['https://pbs.twimg.com/profile_images/1201634032120999937/inq2BFb__mini.jpg'],https://twitter.com/baselineproto/status/1305551501901926403
̿ ̿ ̿ ̿'̿'\̵͇̿̿\з=( ͠° ͟ʖ ͡°)=ε/̵͇̿̿/'̿̿ ̿ ̿ ̿ ̿,@BigCryptoDave,2020-09-14T17:31:38.000Z,"̿ ̿ ̿ ̿'̿'\̵͇̿̿\з=( ͠° ͟ʖ ͡°)=ε/̵͇̿̿/'̿̿ ̿ ̿ ̿ ̿
@BigCryptoDave
·
2020年9月15日","One of my sources in the ASIC industry says Innosilicon was the cause of the the hashrate jump I tweeted about some weeks ago. They're making custom (Samsung) 8nm #Bitcoin ASICs, and are working on a custom #Ethereum ASIC both for private sales.
3
9",,,3,9,['https://pbs.twimg.com/media/Eh5HwatWAA4s4r1?format=jpg&name=small'],https://twitter.com/BigCryptoDave/status/1305559849644761088
Nebraskangooner,@Nebraskangooner,2020-09-14T20:09:48.000Z,"Nebraskangooner
@Nebraskangooner
·
2020年9月15日","#Ethereum

Local levels of interest.

Seeing some initial buyer reaction at support.
5
1
26",,5,1,26,['https://pbs.twimg.com/media/Eh5r1RlX0AgKHk_?format=jpg&name=small'],https://twitter.com/Nebraskangooner/status/1305599649831686147
EMIREX,@EMIREX_OFFICIAL,2020-09-14T14:53:48.000Z,"EMIREX
@EMIREX_OFFICIAL
·
2020年9月14日","Detailed research about Emirex new listing - Nexus Mutual (WNXM)

Nexus Mutual uses the power of #Ethereum so people can share risk together without the need for an insurance company

Full research: https://bit.emirex.com/wnxm-research-1

#exchange #trading #bitcoin #DeFi $BTC $ETH $WNXM
7
10
13",😎 🔍,7,10,13,['https://pbs.twimg.com/media/Eh4jm4CXsAMO3uc?format=png&name=small'],https://twitter.com/EMIREX_OFFICIAL/status/1305520126628974595
Chain Games,@RealChainGames,2020-09-14T14:33:46.000Z,"Chain Games
@RealChainGames
·
2020年9月14日","$CHAIN has been added to http://yield-farming.io w/ 313 $ETH already locked up in value!

Just simply add liquidity to the ETH-CHAIN pool on 
@UniswapProtocol
, and you'll be able to stake your Liquidity Pool Token in exchange for $YIELD tokens!
@yieldfarmingio
 #uniswap #ethereum
1
9
40",🎮,1,9,40,['https://pbs.twimg.com/media/Eh4elLXU8AIp3qO?format=jpg&name=small'],https://twitter.com/RealChainGames/status/1305515085704511488
Yeld.finance,@YeldF,2020-09-14T21:04:37.000Z,"Yeld.finance
@YeldF
·
2020年9月15日","Thanks to the 
@CoinCodex
 team for listing $YELD !

Check it out: https://coincodex.com/crypto/yeld-finance/…

#YELD #DeFi #ETH #Ethereum #YieldFarming
coincodex.com
Yeld Finance (YELD) Price, Chart, Value & Market Cap | CoinCodex
Get detailed information on Yeld Finance (YELD) including real-time price index, historical charts, market cap, exchanges, wallets, and latest news.
2
8
31",,2,8,31,['https://pbs.twimg.com/card_img/1516640914625613825/RiZFNeoZ?format=png&name=small'],https://twitter.com/YeldF/status/1305613446214451201
Decrypt,@decryptmedia,2020-09-14T23:01:06.000Z,"Decrypt
@decryptmedia
·
2020年9月15日","Binance Aims Sights at #Ethereum With DeFi Yield Farming Play 
► https://decrypt.co/41787/binance-aims-sights-ethereum-defi-yield-farming-play?utm_source=twitter&utm_medium=social&utm_campaign=auto…
4
6",,,4,6,['https://pbs.twimg.com/media/Eh6TK_vWkAU9LkC?format=jpg&name=small'],https://twitter.com/decryptmedia/status/1305642762323230720
JG Bͥ.Pͣaͫndo.X/NFTs,@JoelPlatoon,2020-09-14T15:37:59.000Z,"JG Bͥ.Pͣaͫndo.X/NFTs
@JoelPlatoon
·
2020年9月14日","Isothermal Love  https://app.rarible.com/token/0x60f80121c31a0d46b5279700f9df786054aa5ee5:14011:0xe9659ca29dec45c493fabd388dd12be3084b4c06… #Rarible #Ethereum #ERC721 #Collectible #NFT #digitalart #nifties #blockchain via 
@rariblecom
1
24
11",🐼 🦁 👑,1,24,11,[],https://twitter.com/JoelPlatoon/status/1305531246622183425
Chainlink Community News,@LINKNewsOracle,2020-09-14T16:33:26.000Z,"Chainlink Community News
@LINKNewsOracle
·
2020年9月15日","""The announcement represents an important milestone for both the baseline protocol as well as Chainlink"" 

Will #Chainlink’s Integration With 
@EY_US
 And 
@Microsoft
 Backed 
@baselineproto
  Make #Ethereum Enterprise Ready? via 
@forbes
forbes.com
Will Chainlink’s Integration With E&Y And Microsoft Backed Baseline Make Ethereum Enterprise Ready?
Today, the team behind the Baseline Protocol - an enterprise focused blockchain projects pioneered by by EY, Microsoft, ConsenSys, AMD and others that uses the public Ethereum blockchain announced...
4
78
212",,4,78,212,['https://pbs.twimg.com/card_img/1514496954025185284/nPSTg0He?format=jpg&name=240x240'],https://twitter.com/LINKNewsOracle/status/1305545199704322054
Flipside Crypto,@flipsidecrypto,2020-09-14T17:47:42.000Z,"Flipside Crypto
@flipsidecrypto
·
2020年9月15日"," Black Thursday was nothing compared to this: https://fscrypto.co/Ethereum-Gas-Fees-2020…

$YFI $YAM $SUSHI #Ethereum #gasfees
GIF
1
1
8",📈,1,1,8,['https://pbs.twimg.com/tweet_video_thumb/Eh5LW60XgAAjCJm.jpg'],https://twitter.com/flipsidecrypto/status/1305563889183141892
ConsenSys,@ConsenSys,2020-09-14T14:59:38.000Z,"ConsenSys
@ConsenSys
·
2020年9月14日","With 
@infura_io
's instant access APIs, Nori can now generate and manage thousands of certificates of carbon removal on #Ethereum. Here's how:
blog.infura.io
How Infura Is Powering Nori’s Marketplace & API for Carbon Removal
With Infura’s instant access APIs, Nori can now generate and manage thousands of certificates of carbon removal on the Ethereum blockchain, as well as easily manage their API call volume and monitor...
1
12
19",,1,12,19,['https://pbs.twimg.com/card_img/1515792701328961547/q34OM_lH?format=jpg&name=small'],https://twitter.com/ConsenSys/status/1305521597823021058
Ripple Coin News,@RippleC_News,2020-09-14T14:18:20.000Z,"Ripple Coin News
@RippleC_News
·
2020年9月14日","Iran plans to import Autos through Locally Mined Cryptocurrencies

https://ripplecoinnews.com/iran-plans-to-import-autos-through-locally-mined-cryptocurrencies/…

#Ripple #XRP #ETH #Ethereum #RippleCoinNews #blockchainnews #ripple_price_analysis #brave #bat #binance
ripplecoinnews.com
Iran plans to import Autos through Locally Mined Cryptocurrencies
Due to the recent inflation caused by corona, a lot has been happening in the world. Many countries’ currency is suffering from downfall including Iran. Rial has declined miserably and therefore, it...
2
3",,,2,3,[],https://twitter.com/RippleC_News/status/1305511203675004928
DOVU,@dovuofficial,2020-09-14T12:12:14.000Z,"DOVU
@dovuofficial
·
2020年9月14日","We are looking for testers who want to earn DOV tokens through linking their Gmail to our Platform. We will be testing the automatic linking of rewards to your carbon friendly purchases.  
Click on the link below and earn tokens

https://Dovu.earth/beta-tester
#Crypto
#Ethereum
3
4",,,3,4,[],https://twitter.com/dovuofficial/status/1305479468367175681
