UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Brent Wagner,@LJSSportsWagner,2021-10-01T23:38:07.000Z,"Brent Wagner
@LJSSportsWagner
·
Oct 2, 2021",Jordan Larson Olympic gold medal tribute at Devaney tonight:,,,6,46,['https://pbs.twimg.com/ext_tw_video_thumb/1444083771767197699/pu/img/TTessgMJTETEI0-0.jpg'],https://twitter.com/LJSSportsWagner/status/1444084242309271553
Costas Goulas,@LsabreAvenger,2021-10-01T18:37:26.000Z,"Costas Goulas
@LsabreAvenger
·
Oct 2, 2021","Let's watch the late stages as Danny Everett (43.79), individual champion Steve Lewis (43.69), Kevin Robinzine (44.74) and WR holder Harry Butch Reynolds (43.94) blaze round to an equal WR of 2:56.16 for an overwhelming Olympic 4x400m gold in Seoul 33 years ago today",,1,3,19,['https://pbs.twimg.com/ext_tw_video_thumb/1444008184205742084/pu/img/eNPSA_WcPvrokndH.jpg'],https://twitter.com/LsabreAvenger/status/1444008573307084800
Kate Bowen,@coachkate_sc,2021-10-01T18:21:13.000Z,"Kate Bowen
@coachkate_sc
·
Oct 2, 2021","Olympic Race Walking on Potter Field! Welcome to my Wellness 100 class with the best co-teacher 
@PankilChander
! Happy Friday! ",☀,1,2,41,['https://pbs.twimg.com/ext_tw_video_thumb/1444004445231239170/pu/img/4zJyO8w5wW-QZiO9.jpg'],https://twitter.com/coachkate_sc/status/1444004490093416448
j,@oosaoosautd,2021-10-01T19:26:20.000Z,"j
@oosaoosautd
·
Oct 2, 2021",Sick at the thought of what this could’ve been at the olympics  https://twitter.com/The_Hedonist_6/status/1444019081766744065/video/1…,😔,,3,34,[],https://twitter.com/oosaoosautd/status/1444020877117382657
Dan Gable Museum,@wrestlingmuseum,2021-10-01T22:25:44.000Z,"Dan Gable Museum
@wrestlingmuseum
·
Oct 2, 2021","Who will you see at the Gable 72/72 event? How about the 1984 Olympic gold medalist Bobby Weaver! 

Order tickets: https://bit.ly/2WwTisj",,,2,13,['https://pbs.twimg.com/ext_tw_video_thumb/1444065772641325058/pu/img/RNqqCS_E4bQDC9pm.jpg'],https://twitter.com/wrestlingmuseum/status/1444066025042026500
Ó Muirigh Solicitors,@OMuirighSols,2021-10-01T18:21:05.000Z,"Ó Muirigh Solicitors
@OMuirighSols
·
Oct 2, 2021","Michael Conlan seeks to overturn AIBA disciplinary decision and calls for award of Olympic medal in light of McLaren Report. 

See full statement here - http://omuirighsolicitors.com/media/conlan-s…",,2,35,218,['https://pbs.twimg.com/media/FAoiZYoXECMt95M?format=jpg&name=900x900'],https://twitter.com/OMuirighSols/status/1444004455427477506
Steve Cunningham,@usscunningham,2021-10-01T20:44:39.000Z,"Steve Cunningham
@usscunningham
·
Oct 2, 2021","With all thats been said negatively about 
@anthonyjoshua
  YALL STILL NEED TO PUT SOME SPECT (RESPECT) ON HIS NAME  …this list left out  his Olympic gold medal  ….",💯,25,79,479,['https://pbs.twimg.com/media/FApDQbuXEAg3zx0?format=jpg&name=900x900'],https://twitter.com/usscunningham/status/1444040585963319299
Mr. Tofu,@Armenian_Tofu,2021-10-01T23:31:42.000Z,"Mr. Tofu
@Armenian_Tofu
·
Oct 2, 2021","Another bought Olympic Weightlifter of corrupt dictatorship Azerbaijan suspended, her coach & doctor life time banned.

Good to see they're finally taking care of one of the most corrupt nation & biggest cheater in weightlifting.",,,5,6,['https://pbs.twimg.com/card_img/1727316517719552000/yJdO5GfS?format=jpg&name=900x900'],https://twitter.com/Armenian_Tofu/status/1444082628290916354
Grafton High School,@GraftonHISchool,2021-10-01T20:22:16.000Z,"Grafton High School
@GraftonHISchool
·
Oct 2, 2021",The GHS Band clears the classrooms and leads students to the “Laugh Olympics!” #BlackHawkPride,,,2,15,['https://pbs.twimg.com/ext_tw_video_thumb/1444034924483391491/pu/img/ZJJgLbLrFzDdsesh.jpg'],https://twitter.com/GraftonHISchool/status/1444034954653061120
Bloom-Carroll LSD,@BloomCarrollLSD,2021-10-01T19:08:41.000Z,"Bloom-Carroll LSD
@BloomCarrollLSD
·
Oct 2, 2021"," Bulldog spirit has been loud & proud all week as Homecoming activities continue at BCHS! The Senior class pulled off a victory at today’s Class Olympics. Congrats Seniors … and great effort by all! 

  Big shout out to Mr. Wright and BCHS Student Council!  ",💜 🏈 🙌 🙌 📣,,4,30,['https://pbs.twimg.com/ext_tw_video_thumb/1444016396120297494/pu/img/PdIsuuuR5K-9Xhio.jpg'],https://twitter.com/BloomCarrollLSD/status/1444016437958479927
Roger Kingdom OLY,@RogerKingdomOLY,2021-10-01T18:50:09.000Z,"Roger Kingdom OLY
@RogerKingdomOLY
·
Oct 2, 2021","Thank you to Tom Kirkland and the Olympic Channel for this great walk down memory lane. If you like it, Re-Tweet it. Let's see how far it travels. Thank you all. H2P! 
@tksportstweets
@LarryFitzgerald
@mykingdomx
 @CierraClark_",,3,7,16,[],https://twitter.com/RogerKingdomOLY/status/1444011773116436484
modus pony,@moduS_ponY,2021-10-01T23:30:56.000Z,"modus pony
@moduS_ponY
·
Oct 2, 2021","not promoting my stuff today but check out: https://strategictapereserve.bandcamp.com/album/aether-flux…

by 
@jamieorlando
 and I think the 92' USA Olympic basketball team. Idk 2 many, can't rember.  They really went to the weird sound store and had a shopping spree. Best listened to in headphones in the shower.",,2,1,7,['https://pbs.twimg.com/card_img/1728398563380690944/m20PO8Dg?format=jpg&name=240x240'],https://twitter.com/moduS_ponY/status/1444082433758937090
Bowery™ (aka Jay),@BoweryCorp,2021-10-01T20:06:51.000Z,"Bowery™ (aka Jay)
@BoweryCorp
·
Oct 2, 2021","Two Olympic medals, a Swiftie certificate magna cum laude & a SuperCorp trophy for excellence.

Bit soft for Laurie Hernandez ngl",,1,5,52,"['https://pbs.twimg.com/profile_images/1591990923508023302/zZKe4vhf_normal.jpg', 'https://pbs.twimg.com/media/FAo1OTUVIAUaZiI?format=jpg&name=small', 'https://pbs.twimg.com/media/FAo1OTSVQAQ-UYr?format=jpg&name=small']",https://twitter.com/BoweryCorp/status/1444031072099045380
Mark Michael Crowley,@LCHSPrez,2021-10-01T18:52:15.000Z,"Mark Michael Crowley
@LCHSPrez
·
Oct 2, 2021","US Olympian and 
@AlumniLake
 Matt Ludwig (2015) addresses the 
@lakecatholic
 students and staff!  Congratulations on making the US Olympic Team! 
@LCHS_Cougars
 @rollcougz22",,,8,44,"['https://pbs.twimg.com/media/FAopiCmVcAEWwbn?format=jpg&name=small', 'https://pbs.twimg.com/media/FAopiCnVcAA3L7y?format=jpg&name=small', 'https://pbs.twimg.com/media/FAopiEMUcAEd3mD?format=jpg&name=small', 'https://pbs.twimg.com/media/FAopiKyUUAEg5bH?format=jpg&name=small']",https://twitter.com/LCHSPrez/status/1444012301653315612
Craig Tilley,@CraigTilley95,2021-10-01T18:12:06.000Z,"Craig Tilley
@CraigTilley95
·
Oct 2, 2021","Rebeca ""Olympic Champion"" Andrade is coming for that World AA title after 3 ACL tears & nobody is going to stand in her way!",▶ 🔥,1,6,70,"['https://pbs.twimg.com/profile_images/1422256263291879433/2TuH51oT_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1444000284313849863/pu/img/riv-LHobM0avWImy.jpg']",https://twitter.com/CraigTilley95/status/1444002195016503307
Travis Kurtz,@SalamanderTrav,2021-10-01T21:28:44.000Z,"Travis Kurtz
@SalamanderTrav
·
Oct 2, 2021","I had an absolute blast today talking about my beloved Olympic Torrent Salamanders at the 
@MWPARC
 virtual conference!

Also, huge congrats and shout out to the other presenters. The talks I was able to spend time listening to were all fantastic.",,1,3,28,['https://pbs.twimg.com/media/FApL-xkWEAch1Ir?format=jpg&name=900x900'],https://twitter.com/SalamanderTrav/status/1444051679620575237
Robyn Gaudineer,@classgaud,2021-10-01T19:34:15.000Z,"Robyn Gaudineer
@classgaud
·
Oct 2, 2021",We had a great time cheering for Lucas in today’s second grade Science Olympics!,,,,9,['https://pbs.twimg.com/media/FAozJXOWQAAfYW-?format=jpg&name=900x900'],https://twitter.com/classgaud/status/1444022871924355079
Dr King Winter,@I_Am_Winter,2021-10-01T20:58:41.000Z,"Dr King Winter
@I_Am_Winter
·
Oct 2, 2021",France is lashing Nigeria’s basketball women team in the Tokyo Olympics. Don’t know if it’s a current match or what,,5,19,99,[],https://twitter.com/I_Am_Winter/status/1444044116996861952
The Lakers Review,@TheLakersReview,2021-10-01T21:22:03.000Z,"The Lakers Review
@TheLakersReview
·
Oct 2, 2021",Olympic Melo.,,1,7,31,"['https://pbs.twimg.com/profile_images/941123680574119936/--ep-9fi_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1441529546709164032/pu/img/DBffH9vA14yNAK3z.jpg']",https://twitter.com/TheLakersReview/status/1444049999197655042
Dami,@layout_tkachev,2021-10-01T23:44:25.000Z,"Dami
@layout_tkachev
·
Oct 2, 2021",Myk being an Olympic medallist is so random,✨,2,,58,[],https://twitter.com/layout_tkachev/status/1444085825042587648
WECHCPC,@WECHCPC,2021-10-01T23:02:52.000Z,"WECHCPC
@WECHCPC
·
Oct 2, 2021","Have you registered your bike yet? We're at Olympic Village, Ontario & Athletes way till 6pm #GoByBike #VanCommunityPolicing 
@Project529BC
 @VancouverPD",,,1,18,"['https://pbs.twimg.com/media/FApi4RsUUAEuNnY?format=jpg&name=small', 'https://pbs.twimg.com/media/FApi44TUUAI-ENm?format=jpg&name=small']",https://twitter.com/WECHCPC/status/1444075370085433346
Regan Bartel,@Reganrant,2021-10-01T19:28:50.000Z,"Regan Bartel
@Reganrant
·
Oct 2, 2021","Who says hockey season doesn’t start tonight in Kelowna. 
@HockeyCanada
 women’s Olympic team practicing at Prospera Place.",,2,2,18,"['https://pbs.twimg.com/media/FAox5hSWEAYn1HW?format=jpg&name=small', 'https://pbs.twimg.com/media/FAox5hUX0AQoRzz?format=jpg&name=small', 'https://pbs.twimg.com/media/FAox5hSXEAI0lGK?format=jpg&name=small']",https://twitter.com/Reganrant/status/1444021508066582529
David Coughlan,@davidcoughlan_,2021-10-01T19:01:54.000Z,"David Coughlan
@davidcoughlan_
·
Oct 2, 2021","Saturday’s 
@IrishStarSport
: 
* Davy and Edelle Russell interview 
* 
@markmccadden
 talks to Stephen McGuinness 
* 
@EamonMcGee
 picks out his 15 most underrated footballers 
* 
@KCsixtyseven
 on the fallout from Rio Olympic boxing scandal 
* 
@KarlOKane
 on the late Paddy Prendergast",,,6,10,['https://pbs.twimg.com/media/FAorvd9XECUMkEn?format=jpg&name=900x900'],https://twitter.com/davidcoughlan_/status/1444014729513603111
honda/miyake,@andthewaltz,2021-10-01T19:02:44.000Z,"honda/miyake
@andthewaltz
·
Oct 2, 2021",if i have to watch an entire olympic rhythm dance full of *gestures at general state of ice dance* and i dont get to actually have fun watching caroline and micheal,,1,,25,['https://pbs.twimg.com/media/FAor7lSVcAA5WwK?format=jpg&name=small'],https://twitter.com/andthewaltz/status/1444014936456409093
WWW Citizen Pangloss,@SophiaPangloss,2021-10-01T23:38:43.000Z,"WWW Citizen Pangloss
@SophiaPangloss
·
Oct 2, 2021","If the Olympics did Gold Medals for sticking your fingers in your ears and shouting ""La! La! La!"" very loudly... https://twitter.com/stonewalluk/status/1443542488879411204…",,,3,26,[],https://twitter.com/SophiaPangloss/status/1444084393493024773
"Shakira Hobbs, PhD",@ShakiraRHobbs,2021-10-01T20:48:55.000Z,"Shakira Hobbs, PhD
@ShakiraRHobbs
·
Oct 2, 2021","Updating my cv and found a really old resume (circa 2008) that had the following: 

-Weight fines instructor
-2x cross country MVP
-Junior Olympic gold medalist. 

Should I add this back? I’m pretty pumped of these achievements lol",,2,1,19,[],https://twitter.com/ShakiraRHobbs/status/1444041660292345865
g,@icedancie,2021-10-01T22:26:07.000Z,"g
@icedancie
·
Oct 2, 2021",if I was usfs I would just colaborate with dancing with stars somehow and make something with them for my ice dancers leading to the olympics,,3,,11,[],https://twitter.com/icedancie/status/1444066120474972161
Carrie Brown,@CarrieBrownTV,2021-10-01T20:22:34.000Z,"Carrie Brown
@CarrieBrownTV
·
Oct 2, 2021",Every Olympic sport ..practically.,💙,,2,5,['https://pbs.twimg.com/profile_images/1463566526389358596/ATN6GPWe_normal.jpg'],https://twitter.com/CarrieBrownTV/status/1444035028808355845
English Ice Hockey Association,@EIHA_Official,2021-10-01T21:16:34.000Z,"English Ice Hockey Association
@EIHA_Official
·
Oct 2, 2021","GB WOMEN: Olympic Qualifiers less than a week away, hear from 
@CaseyTraill
 from 
@WBWIHC
 and 
@GBWomensHockey
 talking to IHUKtv in association with 
@SMPEUROPE
 

#womenshockey #olympicqualifiers #nottingham",📲,,7,9,['https://pbs.twimg.com/profile_images/1579120066871820299/puIXe7W5_normal.jpg'],https://twitter.com/EIHA_Official/status/1444048618571411456
Charlie Bradshaw,@charlie31_,2021-10-01T23:56:13.000Z,"Charlie Bradshaw
@charlie31_
·
Oct 2, 2021","Had my doubts for a while, but I’m officially out on Ben Simmons. Don’t trust blokes who 
- lose their Australian accent
- date a Jenner
- skip the olympics to get ready for the season he plans to..not play in 
- thinks everyone else needs to change while he stays the same",😐,1,,32,[],https://twitter.com/charlie31_/status/1444088794244792321
Jessica,@yesimrite,2021-10-01T19:46:51.000Z,"Jessica
@yesimrite
·
Oct 2, 2021","Replying to 
@Trap_Jesus
 and 
@deray",,1,2,8,[],https://twitter.com/yesimrite/status/1444026042474110977
