UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Neil Jacobs,@NeilJacobs,2021-10-01T23:41:32.000Z,"Neil Jacobs
@NeilJacobs
·
Oct 2, 2021","Bitcoin is a life force. Positivity is energy. This vid marked a local bottom. You’re welcome.  

#bitcoin",😉,1,15,54,['https://pbs.twimg.com/ext_tw_video_thumb/1443027597127000065/pu/img/sc-OsnWend-Y8iLH.jpg'],https://twitter.com/NeilJacobs/status/1444085099612495889
arrt_blog,@rrt91221,2021-10-01T23:36:54.000Z,"arrt_blog
@rrt91221
·
Oct 2, 2021","Look what I found! Omnipotent GIF collectible https://rarible.com/token/0x60f80121c31a0d46b5279700f9df786054aa5ee5:1345563…? #rarible #ethereum #nonfungible #digitalasset #nft via 
@rarible
 #art #crypto #EthereumClassic #nftart",,,2,5,['https://pbs.twimg.com/card_img/1728389381990301697/hEmaAh3l?format=jpg&name=small'],https://twitter.com/rrt91221/status/1444083933491052548
tranxvg.wallet,@TranJ87,2021-10-01T23:31:53.000Z,"tranxvg.wallet
@TranJ87
·
Oct 2, 2021","#Bitcoin instead of #GOLD 

#Vergecurrency instead of #fiat

#VERGE #transactions are 
#Fast / #LowFee / #secure 

#VergeFam 
#VERGE 
#XVG
Show more",,2,14,60,['https://pbs.twimg.com/media/FAppiVZWQAU0Tnn?format=jpg&name=900x900'],https://twitter.com/TranJ87/status/1444082672171618307
emergency medical emo,@hydrated_thembo,2021-10-01T23:41:07.000Z,"emergency medical emo
@hydrated_thembo
·
Oct 2, 2021",lab says he’s on a new drug called “Rumbly Rodeo” it’s a neutropic from the dark web made of Ivermectin and skim milk. they found him on the subway trying to mine bitcoin using a tortoises and a car battery,,5,33,86,['https://pbs.twimg.com/media/FAprphaVcAEoXbR?format=jpg&name=900x900'],https://twitter.com/hydrated_thembo/status/1444084997745299458
Griffin Haby,@petromundo1,2021-10-01T23:56:06.000Z,"Griffin Haby
@petromundo1
·
Oct 2, 2021",Just talked to a group of Chinese miners that said “We believe the future of Bitcoin mining is Texas” FEED me.,,4,8,70,['https://pbs.twimg.com/tweet_video_thumb/FApvE7QWUAUj2uP.jpg'],https://twitter.com/petromundo1/status/1444088767401299974
Distributed Shortage Technology,@Smolchain,2021-10-01T23:35:53.000Z,"Distributed Shortage Technology
@Smolchain
·
Oct 2, 2021","Replying to 
@steve_hanke",,2,2,23,['https://pbs.twimg.com/media/FApqc9IVgAAVxKx?format=jpg&name=900x900'],https://twitter.com/Smolchain/status/1444083680398303232
"CryptoHulk (,)",@hulkofcryptos,2021-10-01T23:51:46.000Z,"CryptoHulk (,)
@hulkofcryptos
·
Oct 2, 2021","$SLP Let's get this sucker go parabolic !
#AXS #SLP #slpcoin #BTC #Bitcoin #cryptocurrencies #TradingView",💩 💩,,2,5,['https://pbs.twimg.com/media/FAptqDIWYAIrBgF?format=jpg&name=900x900'],https://twitter.com/hulkofcryptos/status/1444087676026736643
Natalie Brunell,@natbrunell,2021-10-01T23:45:05.000Z,"Natalie Brunell
@natbrunell
·
Oct 2, 2021",That’s a wrap! Thank you all for your words of encouragement and support! I made sure to wear #Bitcoin orange for my last day as a TV newscaster before jumping deeper down the rabbit hole. ,⚡ ⚡ 📈,238,121,4.3K,['https://pbs.twimg.com/media/FApsjfjVgAUEhs4?format=jpg&name=900x900'],https://twitter.com/natbrunell/status/1444085992164524032
Xaymont,@Xaymont,2021-10-01T23:31:06.000Z,"Xaymont
@Xaymont
·
Oct 2, 2021","#ShitCoinSurfer

Quickly catch shit coin surfers with our #WalletWatcher 

They are there during the wave, but bounce with your money when the wave collapses.

Just paste a suspect wallet into our Wallet Watcher and see the #ShitCoinSurfers suspect buys.
Show more",,,3,4,['https://pbs.twimg.com/media/FAppTZZXMAYBoO3?format=jpg&name=900x900'],https://twitter.com/Xaymont/status/1444082475249152006
Spicy,@spicyxbt,2021-10-01T23:42:31.000Z,"Spicy
@spicyxbt
·
Oct 2, 2021",Back on eth. ETHEREUM is legend ,🚀,2,,12,[],https://twitter.com/spicyxbt/status/1444085347344793603
DeBank,@DeBankDeFi,2021-10-01T23:53:00.000Z,"DeBank
@DeBankDeFi
·
Oct 2, 2021","Akropolis is now on http://debank.com! (
@ethereum
 version)

Time to track your 
@akropolisio
 portfolio on DeBank! $AKRO",,3,21,89,['https://pbs.twimg.com/media/FAoXL1OUcAEhy3G?format=jpg&name=900x900'],https://twitter.com/DeBankDeFi/status/1444087985268482053
Steelwheel,@byennt66,2021-10-01T23:39:06.000Z,"Steelwheel
@byennt66
·
Oct 2, 2021","SteelWheel found #ethereum in a User vault at this location! Join me playing #coinhuntworld, It's awesome! https://coinhunt.gsc.im/51hREAdv1G #cryptocurrency #48811",,,,5,['https://pbs.twimg.com/media/FAprLUPXMAgjS70?format=jpg&name=small'],https://twitter.com/byennt66/status/1444084489660076047
kst,@SovereignHODLr,2021-10-01T23:58:07.000Z,"kst
@SovereignHODLr
·
Oct 2, 2021",There are NINETEEN Bitcoin ATMs within walking distance to 5 miles from my home ,🤯,2,,20,[],https://twitter.com/SovereignHODLr/status/1444089275956477952
ZΞR0,@OxZ3R0,2021-10-01T23:50:53.000Z,"ZΞR0
@OxZ3R0
·
Oct 2, 2021","300,000,000,000,000 tokens (30% max supply) already auto-burned with 
@Phoenix_Crypto_
 
16% self-burn on each transactions 
NFTs and lots of features incoming.. 
$CPHX #CPHX #WeBurnWeRise #cryptocurrencies
#Ethereum #ETH #altcoin #altcoins #Crypto #Cardano #Uniswap #BTC",🔥 🔥 👀,1,7,8,['https://pbs.twimg.com/media/FApt4oFXsAYIskG?format=jpg&name=900x900'],https://twitter.com/OxZ3R0/status/1444087452638011392
Moby.eth〡Pearl Games,@mojomoby,2021-10-01T23:41:50.000Z,"Moby.eth〡Pearl Games
@mojomoby
·
Oct 2, 2021","To artists... If Ethereum was trading at $10,000 per token today (about 3x from today's value), would this effect how you price your art (in ETH)?

Explain further in comments. ",💬,22,,36,[],https://twitter.com/mojomoby/status/1444085176514932739
Ansel Lindner,@AnselLindner,2021-10-01T23:34:08.000Z,"Ansel Lindner
@AnselLindner
·
Oct 2, 2021","Okay, the world has had enough time to adjust to #Bitcoin near $1 trillion market cap, time to go to $10 trillion.",,1,1,71,[],https://twitter.com/AnselLindner/status/1444083237228326916
Jason J,@JasonJ96563175,2021-10-01T23:49:05.000Z,"Jason J
@JasonJ96563175
·
Oct 2, 2021"," JjasonJ found #bitcoin in a Green vault at this location! Join me playing #coinhuntworld, It's awesome! https://coinhunt.gsc.im/HWuYYtlcsy #cryptocurrency #275443",🎯,1,,8,['https://pbs.twimg.com/media/FApteWfXMAMCK_D?format=jpg&name=small'],https://twitter.com/JasonJ96563175/status/1444087001918156806
Wesley | ActiLi𝕊t,@ScrtWesley,2021-10-01T23:58:32.000Z,"Wesley | ActiLi𝕊t
@ScrtWesley
·
Oct 2, 2021","So what will October do? Let’s get #Bitcoin to 63,000 Dollars ? Then $scrt needs to at least go to 3$  SECRET NETWORK TO THE MOON #privacy #blockchain #NFTs 

Follow me for more ",✨ ✨ 🙏,7,2,39,[],https://twitter.com/ScrtWesley/status/1444089379438448643
Benjamin Cowen,@intocryptoverse,2021-10-01T23:22:56.000Z,"Benjamin Cowen
@intocryptoverse
·
Oct 2, 2021","Replying to 
@WClementeIII",,22,7,665,[],https://twitter.com/intocryptoverse/status/1444080419603980295
Andy Edstrom,@edstromandrew,2021-10-01T23:48:52.000Z,"Andy Edstrom
@edstromandrew
·
Oct 2, 2021","Replying to 
@gladstein",,4,2,20,[],https://twitter.com/edstromandrew/status/1444086944623853570
ryan_ness,@ryan_ness,2021-10-01T23:35:16.000Z,"ryan_ness
@ryan_ness
·
Oct 2, 2021","Replying to 
@steve_hanke",,,,13,['https://pbs.twimg.com/tweet_video_thumb/FApqTfVWUAQAREW.jpg'],https://twitter.com/ryan_ness/status/1444083522692657159
