UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Luna.,@lunasangrienta1,2023-08-10T07:08:15.000Z,"Luna.
@lunasangrienta1
·
Aug 10","#pitbull, Good morning everyone Happy Day hugs from Spain ",🤗,,2,3,['https://pbs.twimg.com/media/F3JuUKUWUAApqCQ?format=jpg&name=medium'],https://twitter.com/lunasangrienta1/status/1689534104948105217
Joan S,@Jargent,2023-08-10T18:40:14.000Z,"Joan S
@Jargent
·
Aug 11","Replying to 
@daij1960
 @paul_d_stevens
 and 2 others",😂,1,,1,[],https://twitter.com/Jargent/status/1689708249509928961
Mhairi Clarke,@MhairiClarke,2023-08-10T17:36:01.000Z,"Mhairi Clarke
@MhairiClarke
·
Aug 11","Happy 18th birthday Harry Wilson!@HarryLe88147052 

We know the ACTUAL birthday is in a few days but hey, it’s not every night you get to celebrate your birthday 
@Mamboibiza
 at sunset.

Many happy returns and enjoy the evening - you SO deserve it!   #Ibiza #CafeMambo #18",🌅 🎶 🌴 ✨,1,1,10,['https://pbs.twimg.com/media/F3L96wiXwAE_yOR?format=jpg&name=900x900'],https://twitter.com/MhairiClarke/status/1689692087556427777
Bluenose97,@GiblinTez,2023-08-10T12:11:59.000Z,"Bluenose97
@GiblinTez
·
Aug 10",Off to see a bit of home abroad. Happy days our kid I'm on my way. Brits in the sun host and camp paco host ,💤 👍,,,2,['https://pbs.twimg.com/media/F3KzzzlXMAAGPKZ?format=jpg&name=900x900'],https://twitter.com/GiblinTez/status/1689610541059149825
PEO,@peterrigby1,2023-08-10T13:10:30.000Z,"PEO
@peterrigby1
·
Aug 10","Replying to 
@Jurgen_Senior
 and 
@DaveOCKOP",,1,,,[],https://twitter.com/peterrigby1/status/1689625267763810305
PEO,@peterrigby1,2023-08-10T11:15:08.000Z,"PEO
@peterrigby1
·
Aug 10","Replying to 
@Jurgen_Senior
 and 
@DaveOCKOP",,1,,,[],https://twitter.com/peterrigby1/status/1689596236599300096
Joan S,@Jargent,2023-08-10T08:42:28.000Z,"Joan S
@Jargent
·
Aug 10","Replying to 
@CasaCueva
 and 
@redalphababe",,,,2,[],https://twitter.com/Jargent/status/1689557816191664128
Jane palmer,@palmsjane1965,2023-08-10T10:38:14.000Z,"Jane palmer
@palmsjane1965
·
Aug 10","Replying to 
@Tas_Panteli",🙄 😂,1,,1,[],https://twitter.com/palmsjane1965/status/1689586948816388096
Hilly,@JohnHilly,2023-08-10T08:42:29.000Z,"Hilly
@JohnHilly
·
Aug 10","Replying to 
@GaryPeebles4",,,,1,[],https://twitter.com/JohnHilly/status/1689557819991732224
Michelle Charnock-Temple,@lilypod1803,2023-08-10T07:46:19.000Z,"Michelle Charnock-Temple
@lilypod1803
·
Aug 10","Replying to 
@wilsonraine114",🍺 💙,1,,3,['https://pbs.twimg.com/tweet_video_thumb/F3J3BJSWIAA8OAR.jpg'],https://twitter.com/lilypod1803/status/1689543684067373056
Elsa Poutchkovsky,@PoutchkovskyE,2023-08-10T17:08:22.000Z,"Elsa Poutchkovsky
@PoutchkovskyE
·
Aug 11",Lost forever in a happy crowd.,,1,,3,['https://pbs.twimg.com/media/F3L3qWcXoAU7WiY?format=jpg&name=900x900'],https://twitter.com/PoutchkovskyE/status/1689685131739504640
