UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Conrad Zen,@askconradzen,2020-01-13T21:18:04.000Z,"Conrad Zen
@askconradzen
·
2020年1月14日","You do not own enough #bitcoin to become wealthy.

Let me give you for free something that will. My followers only.
bit.ly/hexconrad

#cryptocurrency⠀
#bitcoin⠀
#ico⠀
#mining⠀
#ripple⠀
#altcoin⠀
#litecoin⠀
#hex
#conradzen
2",,,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1216831725499609088/pu/img/BwkoWPEzJf0g5GwK.jpg'],https://twitter.com/askconradzen/status/1216831804520271872
Conrad Zen,@askconradzen,2020-01-13T21:18:04.000Z,"Conrad Zen
@askconradzen
·
2020年1月14日","You do not own enough #bitcoin to become wealthy.

Let me give you for free something that will. My followers only.
bit.ly/hexconrad

#cryptocurrency⠀
#bitcoin⠀
#ico⠀
#mining⠀
#ripple⠀
#altcoin⠀
#litecoin⠀
#hex
#conradzen
0:34
22 次观看
2",,,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1216831725499609088/pu/img/BwkoWPEzJf0g5GwK.jpg'],https://twitter.com/askconradzen/status/1216831804520271872
namshik always hiring,@namshik,2020-01-14T00:57:21.000Z,"namshik always hiring
@namshik
·
2020年1月14日","It's just simple math. Go #Bitcoin!
2
3
26",🟠,2,3,26,['https://pbs.twimg.com/media/EONAQjpU4AAsMqV?format=jpg&name=small'],https://twitter.com/namshik/status/1216886988562808832
Conrad Zen,@askconradzen,2020-01-14T17:47:42.000Z,"Conrad Zen
@askconradzen
·
2020年1月15日","#hex is what #bitcoin should have been. You deserve to see this cryptocurrency.

bit.ly/conradhex

#cryptocurrency⠀
#bitcoin⠀
#ico⠀
#mining⠀
#ripple⠀
#altcoin⠀
#litecoin⠀
#hex
1",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1217141232205348869/pu/img/JD-M3wIrpXbEU3kY.jpg'],https://twitter.com/askconradzen/status/1217141250937085952
Conrad Zen,@askconradzen,2020-01-15T23:29:15.000Z,"Conrad Zen
@askconradzen
·
2020年1月16日","You did not see Bitcoin coming but it’s not too late 

bit.ly/conradwebinar

 https://open.spotify.com/track/1SayqEg8HKK2IeIEWjdYxY?si=5guQaqokTEa6-WR4La5vSg…

@@@@@@@@@&@#cryptocurrency⠀
#bitcoin⠀
#ico⠀
#mining⠀
#ripple⠀
#altcoin⠀
#litecoin⠀
#askconradzen
GIF
1",,,,1,['https://pbs.twimg.com/tweet_video_thumb/EOW_RUJUEAUjGMR.jpg'],https://twitter.com/askconradzen/status/1217589595639930880
Conrad Zen,@askconradzen,2020-01-15T23:45:24.000Z,"Conrad Zen
@askconradzen
·
2020年1月16日","You need knowledge and luck to succeed oh and an invite

http://bit.ly/conradhex

This is your investing opportunity of your lifetime.
 
Do not get scammed do not fall for crypto ponzi schemes.

$&$&$&$&&&&&& #cryptocurrency⠀
#bitcoin⠀
#ico⠀
#CryptoNews 
#ripple⠀
#altcoin⠀
1",,,,1,['https://pbs.twimg.com/media/EOXC9m8UYAARmPF?format=jpg&name=small'],https://twitter.com/askconradzen/status/1217593656330182656
Conrad Zen,@askconradzen,2020-01-15T23:32:36.000Z,"Conrad Zen
@askconradzen
·
2020年1月16日","And one more time.
Love this - go listen

 https://open.spotify.com/track/5KTZsi6HKh2laUVsgaU3ag?si=x2a2jo9BTrqL3wX4js0lbA…

#cryptocurrency⠀
#bitcoin⠀
#ico⠀
#mining⠀
#ripple⠀
#altcoin⠀
#litecoin⠀
#askconradzen
GIF
1",,,,1,['https://pbs.twimg.com/tweet_video_thumb/EOXACwPU8AACc-I.jpg'],https://twitter.com/askconradzen/status/1217590436753051648
MMCrypto,@MMCrypto,2020-01-16T08:33:05.000Z,"MMCrypto
@MMCrypto
·
2020年1月16日","Right now in Hong Kong and we spoke in front of 12‘000 people about #Bitcoin.

Education is key not only for growth but also for making able to free themselves from reckless governments.

Bitcoin 2 the  

W. 
@themooncarl
35
37
250",🌝,35,37,250,"['https://pbs.twimg.com/media/EOY7wK8UcAIo8Xn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EOY7wK9UUAAANui?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EOY7wK_UEAAeGIX?format=jpg&name=360x360']",https://twitter.com/MMCrypto/status/1217726454839930880
Conrad Zen,@askconradzen,2020-01-16T01:54:40.000Z,"Conrad Zen
@askconradzen
·
2020年1月16日","Free money to any of my followers.

bit.ly/hexconrad

#cryptocurrency⠀
#bitcoin⠀
#ico⠀
#mining⠀
#ripple⠀
#altcoin⠀
#bitcoincash⠀
#hex⠀
#askconradzen
2",,,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1217626167290654723/pu/img/egpJoVsADx2s6p7t.jpg'],https://twitter.com/askconradzen/status/1217626190871089152
Conrad Zen,@askconradzen,2020-01-16T02:05:55.000Z,"Conrad Zen
@askconradzen
·
2020年1月16日","Many of my freinds think I am lucky.
If that’s true I made my own luck and I’ll admit 1% contribution.
99% of success is self belief.

Here is your kickstart to freedom
bit.ly/hexconrad

#cryptocurrency⠀
#bitcoin⠀
#mining⠀
#ripple⠀
#altcoin⠀
#bitcoincash⠀
#hex⠀
1",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1217628963385688064/pu/img/M66nxMEsUDWYgbbi.jpg'],https://twitter.com/askconradzen/status/1217629021430661120
Conrad Zen,@askconradzen,2020-01-16T01:46:56.000Z,"Conrad Zen
@askconradzen
·
2020年1月16日","Imagine getting free money.

http://bit.ly/hexconrad

That link above could lead to your freedom,  6k plus  followers how many of you are going to change your life ?
Comment retweet share

I am not your financial advisor.
But I am very smart, are you?

#cryptocurrency⠀
#bitcoin
0:06
8 次观看
2",,,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1217624222299615232/pu/img/kB1DlcCBniHbC4Ih.jpg'],https://twitter.com/askconradzen/status/1217624240846884864
The Moon,@TheMoonCarl,2020-01-17T16:01:47.000Z,"The Moon
@TheMoonCarl
·
2020年1月18日","I had the opportunity to educate 12,000 people about #Bitcoin in Hong Kong.

I talked about money and why $btc is going to become the best form of money in the world.
129
268
1,331",,129,268,"1,331",['https://pbs.twimg.com/media/EOfsCywU0Actlqx?format=jpg&name=small'],https://twitter.com/TheMoonCarl/status/1218201762433130496
